,gene_ID,gene_name
27791,ENSG00000235829.1,TBCAP2
27795,ENSG00000287756.1,RP5-864I18.1
27799,ENSG00000175147.13,TMEM51-AS1
27829,ENSG00000171729.14,TMEM51
27900,ENSG00000204464.7,C1orf195
27907,ENSG00000215720.4,MFFP1
27911,ENSG00000278480.1,ZBTB2P1
27915,ENSG00000142621.20,FHAD1
28395,ENSG00000233485.1,FHAD1-AS1
28399,ENSG00000236045.1,RP3-467K16.7
28403,ENSG00000228140.2,RP3-467K16.4
28412,ENSG00000142634.13,EFHD2
28439,ENSG00000162438.12,CTRC
28487,ENSG00000142615.8,CELA2A
28517,ENSG00000215704.10,CELA2B
28559,ENSG00000132906.18,CASP9
28741,ENSG00000116138.13,DNAJC16
28948,ENSG00000251866.1,SCARNA21B
28951,ENSG00000272510.1,RP4-680D5.8
28954,ENSG00000116771.6,AGMAT
28974,ENSG00000237301.1,RP4-680D5.2
28978,ENSG00000235084.3,CHCHD2P6
28981,ENSG00000252417.1,RNU7-179P
28984,ENSG00000236500.1,CD24P1
28987,ENSG00000197312.12,DDI2
29054,ENSG00000215695.1,RSC1A1
29061,ENSG00000271742.1,RP4-680D5.9
29064,ENSG00000116786.13,PLEKHM2
29214,ENSG00000237938.5,RP11-288I21.1
29230,ENSG00000162461.8,SLC25A34
29254,ENSG00000224459.1,SLC25A34-AS1
29258,ENSG00000162460.7,TMEM82
29280,ENSG00000162458.13,FBLIM1
29469,ENSG00000224321.1,RPL12P14
29472,ENSG00000233954.6,UQCRHL
29480,ENSG00000178715.8,RP11-169K16.8
29483,ENSG00000179743.4,FLJ37453
29487,ENSG00000065526.12,SPEN
29582,ENSG00000270620.1,RP1-134O19.3
29585,ENSG00000116809.12,ZBTB17
29766,ENSG00000234607.2,RP11-5P18.1
29769,ENSG00000231353.1,RP11-5P18.3
29772,ENSG00000275503.1,RP11-5P18.11
29775,ENSG00000224966.4,TBC1D3P6
29785,ENSG00000183888.4,SRARP
29795,ENSG00000233078.1,RP11-5P18.5
29799,ENSG00000173641.18,HSPB7
29869,ENSG00000186510.12,CLCNKA
30050,ENSG00000232456.1,RP11-5P18.10
30057,ENSG00000184908.19,CLCNKB
30572,ENSG00000185519.9,FAM131C
30599,ENSG00000142627.13,EPHA2
30652,ENSG00000227959.1,RP11-276H7.2
30656,ENSG00000224621.1,RP11-276H7.3
30660,ENSG00000234166.1,ARHGEF19-AS1
30664,ENSG00000142632.17,ARHGEF19
30744,ENSG00000237276.8,ANO7L1
30770,ENSG00000288398.1,RP4-733M16.8
30773,ENSG00000132881.12,CPLANE2
30798,ENSG00000233929.1,MT1XP1
30801,ENSG00000037637.11,FBXO42
30851,ENSG00000055070.17,SZRD1
30939,ENSG00000226457.1,RPL22P3
30942,ENSG00000187144.11,SPATA21
31059,ENSG00000157191.20,NECAP2
31236,ENSG00000226029.1,LINC01772
31240,ENSG00000080947.15,CROCCP3
31298,ENSG00000206652.1,RNU1-1
31301,ENSG00000261135.1,RP4-798A10.7
31304,ENSG00000285853.1,RP4-798A10.8
31309,ENSG00000224174.2,RP4-798A10.4
31313,ENSG00000233421.5,LINC01783
31317,ENSG00000277344.1,RNU1-6P
31320,ENSG00000225710.1,PDE4DIPP8
31325,ENSG00000219481.10,NBPF1
31508,ENSG00000271732.1,RP5-1182A14.5
31511,ENSG00000215908.10,CROCCP2
31583,ENSG00000283773.1,RP5-1182A14.8
31587,ENSG00000186301.8,MST1P2
31607,ENSG00000282143.1,RP1-163M9.8
31612,ENSG00000207513.1,RNU1-3
31615,ENSG00000280114.1,RP5-875O13.7
31622,ENSG00000236698.1,EIF1AXP1
31625,ENSG00000268869.6,ESPNP
